geo,year,age,sex,indicator,value_n,flag,file
LV,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5865060763,b,lfse_inactpt_lackcare
MT,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8305475742,"",lfse_inactpt_lackcare
NL,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,10.951767068,"",lfse_inactpt_lackcare
PL,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0126766665,"",lfse_inactpt_lackcare
PT,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6083771828,"",lfse_inactpt_lackcare
RO,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2879790916,"",lfse_inactpt_lackcare
SE,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.7314232873,"",lfse_inactpt_lackcare
SI,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9674848302,"",lfse_inactpt_lackcare
SK,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5920648694,"",lfse_inactpt_lackcare
AT,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,6.9039874584,"",lfse_inactpt_lackcare
BE,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,3.317469074,"",lfse_inactpt_lackcare
BG,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1746157527,b,lfse_inactpt_lackcare
CY,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9930264149,"",lfse_inactpt_lackcare
CZ,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2492433987,"",lfse_inactpt_lackcare
DK,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4775455352,"",lfse_inactpt_lackcare
EE,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.910521939,"",lfse_inactpt_lackcare
EL,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6885718949,"",lfse_inactpt_lackcare
ES,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4542535054,"",lfse_inactpt_lackcare
EU27_2020,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,3.1077774842,"",lfse_inactpt_lackcare
EA20,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6575880867,"",lfse_inactpt_lackcare
FI,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8935577201,"",lfse_inactpt_lackcare
FR,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,2.6940689451,"",lfse_inactpt_lackcare
HR,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6058910651,"",lfse_inactpt_lackcare
HU,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2093957286,"",lfse_inactpt_lackcare
IE,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,4.028420526,"",lfse_inactpt_lackcare
IT,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,2.2473043383,"",lfse_inactpt_lackcare
LT,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1435733384,b,lfse_inactpt_lackcare
LU,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6632066995,"",lfse_inactpt_lackcare
LV,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0280667635,"",lfse_inactpt_lackcare
MT,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.5429107338,"",lfse_inactpt_lackcare
NL,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,9.7829776409,"",lfse_inactpt_lackcare
PL,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8093114739,"",lfse_inactpt_lackcare
PT,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.7639686982,"",lfse_inactpt_lackcare
RO,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.113464535,"",lfse_inactpt_lackcare
SE,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,2.2310466236,"",lfse_inactpt_lackcare
SI,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.899810701,"",lfse_inactpt_lackcare
SK,2020,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8044361582,"",lfse_inactpt_lackcare
AT,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,6.9746948304,"",lfse_inactpt_lackcare
BE,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,3.7187866932,"",lfse_inactpt_lackcare
BG,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1772576782,b,lfse_inactpt_lackcare
CY,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0624263419,"",lfse_inactpt_lackcare
CZ,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2661215738,"",lfse_inactpt_lackcare
DE,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,5.8734897826,"",lfse_inactpt_lackcare
DK,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4750170472,"",lfse_inactpt_lackcare
EE,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.6695591106,"",lfse_inactpt_lackcare
EL,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.7030113647,"",lfse_inactpt_lackcare
ES,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4934297594,"",lfse_inactpt_lackcare
EU27_2020,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0786053142,"",lfse_inactpt_lackcare
EA20,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6086704028,"",lfse_inactpt_lackcare
FI,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9635798945,"",lfse_inactpt_lackcare
FR,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0732097869,"",lfse_inactpt_lackcare
HR,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6917770212,"",lfse_inactpt_lackcare
HU,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1326966193,"",lfse_inactpt_lackcare
IE,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,4.207323596,"",lfse_inactpt_lackcare
IT,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,2.4433070313,"",lfse_inactpt_lackcare
LT,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1555364476,b,lfse_inactpt_lackcare
LU,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6445423765,"",lfse_inactpt_lackcare
LV,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9579450801,"",lfse_inactpt_lackcare
MT,2019,Y15-64,T,INACTPT_CARERESP_ONPOP,1.9490645812,"",lfse_inactpt_lackcare
